x,y,z,marker
-7.734,1.567,-25.68,2
-9.132,-94.982,-46.395,3
5.076,-25.956,-15.649,0
5.159,-70.219,-34.919,1
-7.733,1.567,-25.679,2
-9.135,-94.974,-46.403,3
5.095,-25.955,-15.569,0
5.142,-70.225,-34.931,1
-7.732,1.568,-25.679,2
-9.151,-94.979,-46.397,3
5.123,-25.953,-15.454,0
5.134,-70.212,-34.929,1
-7.731,1.569,-25.68,2
-9.157,-94.98,-46.4,3
5.132,-25.95,-15.353,0
5.094,-70.206,-34.939,1
-7.732,1.569,-25.678,2
-9.168,-94.984,-46.405,3
5.152,-25.953,-15.268,0
5.089,-70.199,-34.949,1
-7.732,1.569,-25.674,2
-9.177,-94.98,-46.41,3
5.215,-25.958,-15.147,0
5.096,-70.196,-34.953,1
-7.719,1.566,-25.671,2
-9.179,-94.981,-46.418,3
5.233,-25.93,-15.046,0
5.088,-70.192,-34.952,1
-7.725,1.57,-25.666,2
-9.18,-94.986,-46.429,3
5.307,-25.927,-14.943,0
5.059,-70.168,-34.968,1
-7.713,1.575,-25.665,2
-9.179,-94.985,-46.432,3
5.314,-25.929,-14.814,0
5.045,-70.171,-34.974,1
-7.701,1.58,-25.663,2
-9.173,-94.984,-46.435,3
5.34,-25.922,-14.707,0
5.031,-70.171,-34.975,1
-7.703,1.579,-25.656,2
-9.184,-94.987,-46.442,3
5.412,-25.913,-14.604,0
5.022,-70.188,-34.972,1
-7.697,1.576,-25.65,2
-9.19,-94.987,-46.439,3
5.438,-25.901,-14.499,0
5.017,-70.192,-34.965,1
-7.686,1.578,-25.653,2
-9.197,-94.989,-46.434,3
5.476,-25.894,-14.384,0
5.015,-70.193,-34.97,1
-7.689,1.573,-25.651,2
-9.207,-94.974,-46.434,3
5.497,-25.884,-14.274,0
5.013,-70.186,-34.991,1
-7.661,1.577,-25.657,2
-9.206,-94.972,-46.429,3
5.544,-25.874,-14.139,0
4.988,-70.182,-34.996,1
-7.647,1.577,-25.651,2
-9.212,-94.974,-46.424,3
5.576,-25.857,-14.029,0
4.979,-70.181,-34.997,1
-7.654,1.583,-25.644,2
-9.217,-94.971,-46.421,3
5.564,-25.846,-13.907,0
4.991,-70.191,-34.989,1
-7.659,1.581,-25.642,2
-9.214,-94.97,-46.424,3
5.618,-25.828,-13.801,0
5.012,-70.191,-34.99,1
-7.643,1.585,-25.639,2
-9.211,-94.973,-46.426,3
5.653,-25.803,-13.693,0
5.029,-70.196,-34.99,1
-7.627,1.578,-25.642,2
-9.219,-94.974,-46.423,3
5.651,-25.773,-13.532,0
5.037,-70.201,-34.997,1
-7.622,1.572,-25.641,2
-9.215,-94.97,-46.422,3
5.662,-25.731,-13.371,0
5.039,-70.193,-34.986,1
-7.625,1.564,-25.636,2
-9.207,-94.973,-46.427,3
5.684,-25.711,-13.258,0
5.046,-70.187,-34.989,1
-7.622,1.566,-25.635,2
-9.2,-94.974,-46.427,3
5.725,-25.69,-13.147,0
5.051,-70.195,-34.986,1
-7.629,1.563,-25.632,2
-9.205,-94.968,-46.43,3
5.757,-25.681,-13.034,0
5.064,-70.196,-34.988,1
-7.635,1.556,-25.631,2
-9.215,-94.968,-46.431,3
5.778,-25.66,-12.889,0
5.069,-70.195,-34.983,1
-7.644,1.554,-25.626,2
-9.219,-94.963,-46.431,3
5.799,-25.632,-12.773,0
5.086,-70.192,-34.988,1
-7.647,1.55,-25.618,2
-9.215,-94.963,-46.428,3
5.849,-25.613,-12.659,0
5.089,-70.182,-34.991,1
-7.659,1.55,-25.612,2
-9.208,-94.962,-46.428,3
5.854,-25.585,-12.544,0
5.109,-70.174,-34.995,1
-7.661,1.543,-25.608,2
-9.197,-94.957,-46.426,3
5.876,-25.561,-12.413,0
5.116,-70.184,-34.994,1
-7.677,1.537,-25.601,2
-9.202,-94.956,-46.434,3
5.868,-25.528,-12.266,0
5.099,-70.188,-34.995,1
-7.716,1.526,-25.585,2
-9.203,-94.954,-46.446,3
5.911,-25.502,-12.145,0
5.097,-70.182,-34.996,1
-7.712,1.526,-25.585,2
-9.203,-94.955,-46.45,3
5.921,-25.477,-12.003,0
5.078,-70.175,-35.003,1
-7.707,1.531,-25.579,2
-9.201,-94.957,-46.451,3
5.955,-25.446,-11.888,0
5.064,-70.161,-35.004,1
-7.696,1.538,-25.578,2
-9.196,-94.961,-46.457,3
5.976,-25.419,-11.757,0
5.061,-70.153,-35.01,1
-7.689,1.538,-25.58,2
-9.202,-94.962,-46.46,3
6.018,-25.388,-11.632,0
5.071,-70.153,-35.014,1
-7.692,1.539,-25.578,2
-9.202,-94.961,-46.458,3
6.027,-25.345,-11.489,0
5.07,-70.153,-35.01,1
-7.681,1.536,-25.579,2
-9.206,-94.957,-46.459,3
6.067,-25.32,-11.372,0
5.068,-70.152,-35.017,1
-7.68,1.535,-25.572,2
-9.206,-94.958,-46.463,3
6.095,-25.287,-11.256,0
5.074,-70.154,-35.012,1
-7.668,1.537,-25.563,2
-9.204,-94.96,-46.467,3
6.12,-25.254,-11.11,0
5.068,-70.166,-35.008,1
-7.67,1.532,-25.556,2
-9.206,-94.963,-46.467,3
6.165,-25.22,-10.996,0
5.066,-70.175,-35.014,1
-7.654,1.537,-25.551,2
-9.211,-94.958,-46.468,3
6.189,-25.181,-10.868,0
5.069,-70.173,-35.021,1
-7.658,1.539,-25.543,2
-9.216,-94.963,-46.463,3
6.249,-25.144,-10.726,0
5.086,-70.172,-35.016,1
-7.64,1.538,-25.538,2
-9.224,-94.955,-46.466,3
6.3,-25.105,-10.573,0
5.097,-70.177,-35.028,1
-7.624,1.533,-25.534,2
-9.224,-94.954,-46.469,3
6.317,-25.071,-10.444,0
5.093,-70.188,-35.024,1
-7.631,1.523,-25.536,2
-9.225,-94.961,-46.464,3
6.348,-25.025,-10.299,0
5.096,-70.183,-35.015,1
-7.61,1.525,-25.534,2
-9.215,-94.964,-46.459,3
6.378,-24.985,-10.146,0
5.093,-70.173,-35.019,1
-7.626,1.521,-25.524,2
-9.21,-94.962,-46.463,3
6.394,-24.938,-9.993,0
5.092,-70.162,-35.028,1
-7.624,1.519,-25.519,2
-9.21,-94.967,-46.464,3
6.436,-24.892,-9.851,0
5.087,-70.167,-35.028,1
-7.641,1.511,-25.51,2
-9.208,-94.98,-46.467,3
6.462,-24.852,-9.699,0
5.079,-70.166,-35.023,1
-7.649,1.511,-25.501,2
-9.218,-94.985,-46.47,3
6.542,-24.798,-9.565,0
5.068,-70.172,-35.028,1
-7.643,1.513,-25.503,2
-9.212,-94.982,-46.473,3
6.591,-24.753,-9.419,0
5.078,-70.163,-35.032,1
-7.642,1.516,-25.501,2
-9.205,-94.984,-46.471,3
6.611,-24.707,-9.264,0
5.077,-70.164,-35.04,1
-7.635,1.518,-25.497,2
-9.199,-94.983,-46.47,3
6.641,-24.646,-9.088,0
5.083,-70.175,-35.041,1
-7.622,1.519,-25.496,2
-9.192,-94.989,-46.474,3
