p1handX,p1handY,p1handZ,p2handX,p2handY,p2handZ,p1bodyX,p1bodyY,p1bodyZ,p2bodyX,p2bodyY,p2bodyZ
8.567,-11.674,-15.162,8.154,-76.519,-56.69,-7.362,15.358,-22.218,-9.813,-102.415,-46.21
8.551,-11.653,-15.021,8.169,-76.513,-56.663,-7.327,15.362,-22.23,-9.798,-102.41,-46.227
8.531,-11.639,-14.874,8.186,-76.505,-56.614,-7.305,15.36,-22.253,-9.788,-102.416,-46.258
8.517,-11.614,-14.729,8.212,-76.487,-56.526,-7.34,15.369,-22.257,-9.809,-102.425,-46.291
8.504,-11.587,-14.574,8.252,-76.455,-56.419,-7.366,15.377,-22.258,-9.829,-102.423,-46.293
8.488,-11.564,-14.405,8.316,-76.399,-56.188,-7.38,15.38,-22.264,-9.841,-102.432,-46.316
8.475,-11.541,-14.281,8.388,-76.316,-56.018,-7.403,15.386,-22.273,-9.846,-102.454,-46.351
8.469,-11.508,-14.147,8.446,-76.244,-55.745,-7.413,15.393,-22.284,-9.838,-102.456,-46.361
8.453,-11.478,-14.061,8.497,-76.198,-55.474,-7.395,15.4,-22.298,-9.816,-102.462,-46.387
8.427,-11.482,-13.937,8.526,-76.142,-55.189,-7.404,15.406,-22.323,-9.794,-102.458,-46.412
8.415,-11.468,-13.861,8.568,-76.089,-54.883,-7.378,15.409,-22.357,-9.793,-102.452,-46.423
8.396,-11.441,-13.766,8.582,-76.031,-54.598,-7.37,15.42,-22.384,-9.777,-102.455,-46.438
8.385,-11.412,-13.722,8.641,-75.971,-54.331,-7.337,15.433,-22.398,-9.772,-102.469,-46.447
8.366,-11.388,-13.659,8.669,-75.909,-54.014,-7.312,15.445,-22.422,-9.803,-102.497,-46.458
8.351,-11.36,-13.634,8.696,-75.875,-53.679,-7.357,15.452,-22.426,-9.793,-102.491,-46.47
8.333,-11.337,-13.619,8.731,-75.822,-53.353,-7.347,15.456,-22.435,-9.773,-102.476,-46.476
8.315,-11.322,-13.573,8.769,-75.79,-53.037,-7.323,15.468,-22.451,-9.762,-102.459,-46.48
8.297,-11.301,-13.532,8.79,-75.746,-52.716,-7.347,15.479,-22.462,-9.762,-102.47,-46.486
8.287,-11.28,-13.504,8.815,-75.675,-52.367,-7.364,15.481,-22.473,-9.75,-102.464,-46.493
8.265,-11.237,-13.517,8.843,-75.684,-51.951,-7.342,15.494,-22.478,-9.757,-102.459,-46.509
8.243,-11.214,-13.519,8.871,-75.669,-51.564,-7.332,15.497,-22.49,-9.774,-102.46,-46.535
8.226,-11.198,-13.508,8.851,-75.601,-51.285,-7.336,15.504,-22.495,-9.772,-102.445,-46.548
8.207,-11.181,-13.526,8.938,-75.583,-50.905,-7.305,15.52,-22.494,-9.742,-102.433,-46.548
8.191,-11.167,-13.553,8.98,-75.595,-50.447,-7.323,15.513,-22.5,-9.737,-102.433,-46.562
8.18,-11.155,-13.584,9.003,-75.575,-50.034,-7.308,15.505,-22.506,-9.741,-102.446,-46.579
8.168,-11.145,-13.559,8.981,-75.588,-49.58,-7.293,15.495,-22.516,-9.767,-102.438,-46.598
8.154,-11.136,-13.621,9.026,-75.603,-49.164,-7.307,15.495,-22.516,-9.777,-102.455,-46.615
8.138,-11.124,-13.656,9.036,-75.681,-48.675,-7.317,15.497,-22.515,-9.78,-102.462,-46.631
8.115,-11.111,-13.684,9.117,-75.719,-48.249,-7.306,15.491,-22.519,-9.8,-102.46,-46.636
8.085,-11.103,-13.729,9.104,-75.751,-47.761,-7.319,15.494,-22.522,-9.84,-102.461,-46.654
8.05,-11.091,-13.813,9.09,-75.836,-47.302,-7.333,15.499,-22.523,-9.874,-102.449,-46.669
8.014,-11.076,-13.89,9.184,-75.89,-46.861,-7.324,15.5,-22.525,-9.877,-102.441,-46.679
7.976,-11.06,-13.988,9.174,-76.06,-46.383,-7.321,15.5,-22.528,-9.881,-102.453,-46.699
7.945,-11.044,-14.079,9.205,-76.139,-45.929,-7.318,15.499,-22.53,-9.896,-102.453,-46.708
7.913,-11.038,-14.159,9.209,-76.27,-45.464,-7.315,15.497,-22.532,-9.921,-102.442,-46.742
7.891,-11.031,-14.219,9.361,-76.305,-45.093,-7.326,15.496,-22.534,-9.905,-102.428,-46.75
7.864,-11.024,-14.266,9.394,-76.481,-44.626,-7.325,15.497,-22.534,-9.916,-102.415,-46.773
7.841,-11.022,-14.323,9.305,-76.628,-44.165,-7.32,15.496,-22.539,-9.903,-102.428,-46.778
7.831,-11.014,-14.357,9.38,-76.76,-43.666,-7.322,15.503,-22.535,-9.891,-102.443,-46.784
7.812,-11.002,-14.473,9.401,-76.945,-43.204,-7.325,15.504,-22.534,-9.908,-102.446,-46.8
7.795,-10.997,-14.528,9.556,-77.081,-42.775,-7.32,15.502,-22.537,-9.917,-102.457,-46.809
7.778,-11.009,-14.554,9.585,-77.225,-42.374,-7.312,15.5,-22.538,-9.92,-102.458,-46.81
7.766,-11.02,-14.612,9.577,-77.452,-41.987,-7.311,15.497,-22.538,-9.924,-102.45,-46.824
7.756,-11.027,-14.662,9.548,-77.688,-41.559,-7.32,15.495,-22.537,-9.922,-102.448,-46.83
7.75,-11.035,-14.696,9.574,-77.864,-41.138,-7.324,15.494,-22.534,-9.913,-102.442,-46.84
7.745,-11.047,-14.764,9.556,-78.018,-40.738,-7.314,15.493,-22.534,-9.901,-102.452,-46.84
7.729,-11.061,-14.777,9.543,-78.222,-40.284,-7.328,15.491,-22.531,-9.905,-102.449,-46.847
7.725,-11.077,-14.813,9.607,-78.425,-39.893,-7.326,15.487,-22.524,-9.883,-102.443,-46.85
7.714,-11.098,-14.829,9.597,-78.598,-39.59,-7.328,15.485,-22.514,-9.865,-102.433,-46.852
7.71,-11.124,-14.816,9.615,-78.825,-39.181,-7.314,15.479,-22.511,-9.843,-102.429,-46.858
7.707,-11.14,-14.841,9.643,-78.986,-38.882,-7.307,15.474,-22.502,-9.834,-102.413,-46.869
7.694,-11.16,-14.841,9.667,-79.185,-38.511,-7.299,15.471,-22.493,-9.807,-102.432,-46.867
7.692,-11.176,-14.858,9.641,-79.42,-38.178,-7.299,15.466,-22.478,-9.8,-102.425,-46.865
7.688,-11.193,-14.831,9.686,-79.608,-37.899,-7.291,15.463,-22.46,-9.803,-102.414,-46.867
7.69,-11.21,-14.828,9.667,-79.797,-37.642,-7.277,15.459,-22.436,-9.811,-102.412,-46.867
7.681,-11.228,-14.832,9.761,-79.955,-37.301,-7.246,15.448,-22.419,-9.811,-102.416,-46.874
7.674,-11.245,-14.846,9.744,-80.099,-37.057,-7.24,15.446,-22.396,-9.792,-102.407,-46.882
7.667,-11.264,-14.863,9.657,-80.29,-36.831,-7.234,15.441,-22.384,-9.772,-102.403,-46.896
